Time (s),Cam1 Fiducial ID,Cam1 Position X,Cam1 Position Y,Cam1 Position Z,Cam1 Rotation X,Cam1 Rotation Y,Cam1 Rotation Z,Cam1 Rotation W,Cam2 Fiducial ID,Cam2 Position X,Cam2 Position Y,Cam2 Position Z,Cam2 Rotation X,Cam2 Rotation Y,Cam2 Rotation Z,Cam2 Rotation W
1732031444.525871,1,-0.0003847186835799764,-0.00011695187786792054,-6.22670876893631e-05,0.0015313015037238496,0.007555469436870768,-0.0012466199059070371,0.9999695075031555,1,-0.0003742177758769068,-1.2086846505521985e-05,-0.00019276392867954042,0.013188385123843722,0.12343222447184968,-0.0014449479983942553,0.992264311856996
1732031444.5453644,1,-0.00011937189604368884,-0.0001006515039307986,-5.076932975777934e-06,0.0008167580333371386,0.011726777738135801,-0.0018736849309676851,0.9999291499376218,1,-0.00012872047763308044,-2.777499556799791e-06,-0.0005820306725862642,0.012256158711480902,0.1253478804597529,-0.0013714367405771232,0.9920361962142071
1732031444.5590966,1,0.00014802870142274942,-8.955945259357155e-05,-3.335843010078854e-05,0.0006442353702125356,0.006456584950839568,-0.0009795794817640917,0.9999784687160016,1,0.00017321878870252348,5.794782882772749e-06,-0.00022687879526797107,-0.004427064966148668,-0.000557571901306979,-1.3825871921826146e-05,0.9999900449595513
1732031444.5753891,1,0.00021310332247799867,-2.6540014272556268e-05,0.00030645791229293813,0.000901670830342713,-0.0020581051655925733,0.0004096313037616989,0.9999973916941164,1,0.0001804938353872634,1.543566017415451e-05,4.93428805577955e-05,0.00511277470230836,0.000904842854490647,-1.550761066689716e-05,0.9999865201860303
1732031444.5943468,1,2.8023234494752232e-05,8.791784426029211e-05,0.0010731317270125402,-0.0007116545117338891,-0.0096691145073768,0.0017075784817749042,0.9999515418000152,1,-6.808631848574206e-05,1.4777962499979316e-06,-6.788711296291843e-05,0.01039863002805704,-0.0008016653783045247,5.687333948659616e-07,0.9999456114338606
1732031444.6092439,1,-0.0002596531699264343,9.104150744988334e-05,0.0011694944831699813,-0.0012936498420789571,-0.010678437508538249,0.0018725404895463835,0.9999403937408357,1,-0.00033308179468558854,-1.1265525642116166e-05,5.1576540068424276e-05,0.006934250783517578,0.000565212376772298,7.699556407936117e-05,0.999975795093423
1732031444.626863,1,-0.00044248605628267505,-2.3193438208897604e-05,0.0004921921914504698,-6.746262525457472e-05,-0.0030705587115066155,0.0006004231148215094,0.9999951032930494,1,-0.0005046735226855802,-1.7017442990519755e-05,4.522480315344097e-05,0.004706267804375918,0.120081173963326,-0.00032163770532132136,0.9927528691734563
1732031444.6425042,1,-0.00041203565765513114,-8.727354247129926e-05,0.00011219374541681221,0.0011556656785810554,0.005695237586847663,-0.0008969481386401859,0.9999827119454142,1,-0.00036574373115894374,-2.7003153784836423e-05,-0.00018666751464708017,-0.00940373057865335,-0.0025131299104692926,-3.2183335102234244e-05,0.9999526253745674
1732031444.6590288,1,-0.00018640849685576594,-0.0001076457834724114,-4.5903239957785234e-05,0.0009383274300617078,0.01029454313135872,-0.0017009886267632189,0.9999451227747662,1,-0.00019347749922180992,-4.6685884014333415e-06,-0.0005051112584791001,0.012580479596044726,0.12480885106300393,-0.001514460489784225,0.9920998884381004
1732031444.6781116,1,8.175174239802107e-05,-9.140303682330888e-05,-5.902377590866481e-05,0.0005424096595916485,0.008412315306892126,-0.001352423607660044,0.9999635541825133,1,5.632101491151955e-05,1.3530252836755024e-05,-0.00034606484239144624,0.007348920439056761,0.12247319036017185,-0.000798152042549265,0.9924442926253838
