System Time (s),ROS Header Time (s),Camera Number,Fiducial ID,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
1740165981.4269857,1740165981.4128325,2,3,-0.003150566901540299,9.600106190144891e-05,-0.0016997060504540522,-0.0006192442364337064,0.03420020375075103,0.0002387639881522731,0.9994147815555565
1740165981.4427762,1740165981.4292276,2,3,-0.0030717341989870642,0.00010264646488398395,-0.0018475423750095577,0.0014431699612767312,0.03442362410149278,0.0004466721429740907,0.999406189618705
1740165981.4598742,1740165981.4455478,2,3,-0.003091070473425847,0.0001048122187324238,-0.002085645710245661,0.0021773572626850226,0.034797683767222656,0.00025788982295429035,0.9993919720573236
1740165981.4763675,1740165981.46225,2,3,-0.0033619989610363596,0.0001030273552105552,-0.002030911133288291,0.002131850254871521,0.034702267450711095,0.00042437945641352867,0.9993953310629119
1740165981.492459,1740165981.4790015,2,3,-0.003297859745586467,0.00010076223370445882,-0.0022673978405942058,0.00032680953943453096,0.03442464230451214,0.0002231631118021439,0.9994072180027304
1740165981.5097184,1740165981.4962447,2,3,-0.0031077065105173073,0.00010858093220778934,-0.0023781197260897492,-0.0006121588982366388,0.034237706002473105,0.00030081056606704576,0.9994134851312417
1740165981.5338223,1740165981.5129888,2,3,-0.0028892393675132412,0.00010621236036151181,-0.002348902136522964,-0.0021139038145867838,0.03461449667203517,0.00024027673604870515,0.9993984742323226
1740165981.5436804,1740165981.5294936,2,3,-0.0033159906705485832,9.442423227235772e-05,-0.0020540080291813804,0.004900652095363474,-0.622262297340543,0.0004726327729041134,0.7827933274726938
1740165981.559735,1740165981.5460596,2,3,-0.0032744233447580618,9.356332842400195e-05,-0.0020610994767258895,0.0036630901337156405,-0.6221594369573252,-0.0005839429743019004,0.7828817763789238
1740165981.5761278,1740165981.562391,2,3,-0.0033394804958978485,9.646437506278804e-05,-0.002218834578547622,0.0023388764085014316,-0.622456861605978,-0.0016213509220632284,0.7826489355502693
1740165981.5927682,1740165981.5791445,2,3,-0.003080328123433027,0.00010595127315207401,-0.002359102350137513,0.0024085422999320606,0.03449005978235487,0.0001425709742639059,0.99940212846167
1740165981.609611,1740165981.5959544,2,3,-0.0031494191909052695,0.00010332823024300158,-0.0024748484067005404,0.00016427119671741724,0.03429031789384174,0.00018577930156042614,0.9994118833592907
1740165981.6306825,1740165981.612536,2,3,-0.003393387518213381,9.347017834766286e-05,-0.00205113066036007,-0.0009811205203912427,0.03468081050241534,0.00046526350625906743,0.9993978498652525
1740165981.6436906,1740165981.6297224,2,3,-0.0032454902382572873,9.32984191228236e-05,-0.0019460662627836045,-0.001990868995340101,0.03512473626134982,0.00034743000021590425,0.999380892670862
1740165981.660379,1740165981.6465466,2,3,-0.002822946396953541,0.00010201482515698156,-0.0022112854663533764,-0.0010210718792010964,0.03419979851623742,0.0001914772571587018,0.9994144758457956
1740165981.6761844,1740165981.662467,2,3,-0.003027396040926949,8.897565662777405e-05,-0.0018278060583192333,0.0007820016073743854,0.03396942324877706,0.0002460232330486229,0.9994225363829856
1740165981.6933205,1740165981.6793811,2,3,-0.002843735934355882,0.00010109224332591489,-0.0022680276733712695,0.002364271552019277,0.03444026671335894,7.630184666308445e-05,0.9994039585806977
1740165981.7095032,1740165981.6959279,2,3,-0.003010791588132778,0.00010393997108036098,-0.0023906327582905577,0.002387703075528612,0.03471288782854278,9.11277155697309e-05,0.9993944696606868
1740165981.7260268,1740165981.7125258,2,3,-0.0031759410094789877,0.00010226416444972273,-0.002421303677866972,0.0006958528617159289,0.03447951532971147,0.00011285905512768521,0.999405156117506
1740165981.7428775,1740165981.7292552,2,3,-0.0036315822364508276,9.301871710655222e-05,-0.0023433198053363635,0.0049585279747660265,-0.6221308817062349,0.000450946180189727,0.7828974234695685
1740165981.7598069,1740165981.746286,2,3,-0.0033186822510711477,9.397026659002827e-05,-0.0019364324545502255,-0.0013466028478314363,0.034959689351813025,0.0005137754628957842,0.9993876839425071
1740165981.7769349,1740165981.7631505,2,3,-0.0028260489185699357,0.00010312059239427574,-0.0022595493802281884,-0.0011341521452952572,0.03437335273557617,0.00015336742434087907,0.9994084064080411
1740165981.7927914,1740165981.7792814,2,3,-0.002756029337303116,0.00010454365739033812,-0.0021844558550585505,0.00033694866379770235,0.0337178303689026,0.00021465328012565423,0.9994313124496257
1740165981.810431,1740165981.7959685,2,3,-0.0027979542988401935,0.00010470595769436387,-0.0022673726157782185,0.0015920242037396949,0.034483325242817185,0.00015786640289026824,0.9994039927963725
1740165981.826624,1740165981.8128462,2,3,-0.003016208124567749,0.00010877917065122119,-0.0023186514133328264,0.0023261173602979897,0.03487143915566183,0.00021109978390028105,0.9993890770596405
