Data_acquisition_time,Epoch_time_ms,Distance1_mm,,,
2024-09-14 06:45:56,446753,1726263956446,752,0,4421
2024-09-14 06:45:56,447753,1726263956447,753,0,4172
2024-09-14 06:45:56,448753,1726263956448,753,0,3923
2024-09-14 06:45:56,449753,1726263956449,753,0,3674
2024-09-14 06:45:56,450753,1726263956450,753,0,3394
2024-09-14 06:45:56,451754,1726263956451,754,0,3145
2024-09-14 06:45:56,452754,1726263956452,754,0,2864
2024-09-14 06:45:56,453754,1726263956453,754,0,2615
2024-09-14 06:45:56,454754,1726263956454,754,0,2304
2024-09-14 06:45:56,455755,1726263956455,755,0,2024
2024-09-14 06:45:56,456755,1726263956456,755,0,1744
2024-09-14 06:45:56,457755,1726263956457,755,0,1463
2024-09-14 06:45:56,458755,1726263956458,755,0,1183
2024-09-14 06:45:56,459756,1726263956459,756,0,872
2024-09-14 06:45:56,460756,1726263956460,756,0,592
2024-09-14 06:45:56,461756,1726263956461,756,0,280
2024-09-14 06:45:56,462756,1726263956462,756,0,0
2024-09-14 06:45:56,463757,1726263956463,757,0,311
2024-09-14 06:45:56,464757,1726263956464,757,0,592
2024-09-14 06:45:56,465757,1726263956465,757,0,903
2024-09-14 06:45:56,466757,1726263956466,757,0,1183
2024-09-14 06:45:56,467757,1726263956467,758,0,1432
2024-09-14 06:45:56,468758,1726263956468,758,0,1681
2024-09-14 06:45:56,469758,1726263956469,758,0,1962
2024-09-14 06:45:56,470758,1726263956470,758,0,2242
2024-09-14 06:45:56,471759,1726263956471,759,0,2460
2024-09-14 06:45:56,472759,1726263956472,759,0,2771
2024-09-14 06:45:56,473759,1726263956473,759,0,3082
2024-09-14 06:45:56,474759,1726263956474,759,0,3394
2024-09-14 06:45:56,475759,1726263956475,760,0,3674
2024-09-14 06:45:56,476760,1726263956476,760,0,3954
2024-09-14 06:45:56,477760,1726263956477,760,0,4234
2024-09-14 06:45:56,478760,1726263956478,760,0,4515
2024-09-14 06:45:56,479760,1726263956479,760,0,4764
2024-09-14 06:45:56,480761,1726263956480,761,0,5044
2024-09-14 06:45:56,481761,1726263956481,761,0,5355
2024-09-14 06:45:56,482761,1726263956482,761,0,5604
2024-09-14 06:45:56,483762,1726263956483,761,0,5853
2024-09-14 06:45:56,484762,1726263956484,762,0,6040
2024-09-14 06:45:56,485762,1726263956485,762,0,6258
2024-09-14 06:45:56,486762,1726263956486,762,0,6476
2024-09-14 06:45:56,487762,1726263956487,762,0,6663
2024-09-14 06:45:56,488763,1726263956488,763,0,6881
2024-09-14 06:45:56,489763,1726263956489,763,0,7099
2024-09-14 06:45:56,490763,1726263956490,763,0,7317
2024-09-14 06:45:56,491763,1726263956491,763,0,7535
2024-09-14 06:45:56,492764,1726263956492,764,0,7753
2024-09-14 06:45:56,493764,1726263956493,764,0,8033
2024-09-14 06:45:56,494764,1726263956494,764,0,8344
2024-09-14 06:45:56,495764,1726263956495,764,0,8625
2024-09-14 06:45:56,496765,1726263956496,765,0,8905
2024-09-14 06:45:56,497765,1726263956497,765,0,9247
2024-09-14 06:45:56,498765,1726263956498,765,0,9559
2024-09-14 06:45:56,499765,1726263956499,765,0,9839
2024-09-14 06:45:56,500766,1726263956500,766,1,119
2024-09-14 06:45:56,501766,1726263956501,766,1,430
2024-09-14 06:45:56,502766,1726263956502,766,1,711
2024-09-14 06:45:56,503766,1726263956503,766,1,991
2024-09-14 06:45:56,504767,1726263956504,767,1,1271
2024-09-14 06:45:56,505767,1726263956505,767,1,1551
2024-09-14 06:45:56,506767,1726263956506,767,1,1800
2024-09-14 06:45:56,507767,1726263956507,767,1,2018
2024-09-14 06:45:56,508768,1726263956508,768,1,2236
2024-09-14 06:45:56,509768,1726263956509,768,1,2454
2024-09-14 06:45:56,510768,1726263956510,768,1,2672
2024-09-14 06:45:56,511768,1726263956511,768,1,2890
2024-09-14 06:45:56,512768,1726263956512,769,1,3108
2024-09-14 06:45:56,513769,1726263956513,769,1,3295
2024-09-14 06:45:56,514769,1726263956514,769,1,3513
2024-09-14 06:45:56,515769,1726263956515,769,1,3731
2024-09-14 06:45:56,516770,1726263956516,770,1,3949
2024-09-14 06:45:56,517770,1726263956517,770,1,4167
2024-09-14 06:45:56,518770,1726263956518,770,1,4385
2024-09-14 06:45:56,519770,1726263956519,770,1,4571
2024-09-14 06:45:56,520771,1726263956520,771,1,4789
2024-09-14 06:45:56,521771,1726263956521,771,1,4976
2024-09-14 06:45:56,522771,1726263956522,771,1,5194
2024-09-14 06:45:56,523771,1726263956523,771,1,5381
2024-09-14 06:45:56,524771,1726263956524,771,1,5599
2024-09-14 06:45:56,525772,1726263956525,772,1,5786
2024-09-14 06:45:56,526772,1726263956526,772,1,5973
2024-09-14 06:45:56,527772,1726263956527,772,1,6159
2024-09-14 06:45:56,528772,1726263956528,772,1,6377
2024-09-14 06:45:56,529773,1726263956529,773,1,6533
2024-09-14 06:45:56,530773,1726263956530,773,1,6720
2024-09-14 06:45:56,531773,1726263956531,773,1,6875
2024-09-14 06:45:56,532773,1726263956532,773,1,7031
2024-09-14 06:45:56,533774,1726263956533,774,1,7187
2024-09-14 06:45:56,534774,1726263956534,774,1,7311
2024-09-14 06:45:56,535774,1726263956535,774,1,7436
2024-09-14 06:45:56,536774,1726263956536,774,1,7560
2024-09-14 06:45:56,537775,1726263956537,775,1,7685
2024-09-14 06:45:56,538775,1726263956538,775,1,7778
2024-09-14 06:45:56,539775,1726263956539,775,1,7903
2024-09-14 06:45:56,540775,1726263956540,775,1,7996
2024-09-14 06:45:56,541776,1726263956541,776,1,8121
2024-09-14 06:45:56,542776,1726263956542,776,1,8214
2024-09-14 06:45:56,543776,1726263956543,776,1,8308
2024-09-14 06:45:56,544776,1726263956544,776,1,8370
2024-09-14 06:45:56,545777,1726263956545,777,1,8432
2024-09-14 06:45:56,546777,1726263956546,777,1,8526
2024-09-14 06:45:56,547777,1726263956547,777,1,8588
2024-09-14 06:45:56,548777,1726263956548,777,1,8650
2024-09-14 06:45:56,549777,1726263956549,778,1,8712
2024-09-14 06:45:56,550778,1726263956550,778,1,8775
2024-09-14 06:45:56,551778,1726263956551,778,1,8837
2024-09-14 06:45:56,552778,1726263956552,778,1,8868
2024-09-14 06:45:56,553779,1726263956553,779,1,8899
2024-09-14 06:45:56,554779,1726263956554,779,1,8930
2024-09-14 06:45:56,555779,1726263956555,779,1,8962
2024-09-14 06:45:56,556779,1726263956556,779,1,8993
2024-09-14 06:45:56,557780,1726263956557,780,1,8993
2024-09-14 06:45:56,558780,1726263956558,780,1,8993
2024-09-14 06:45:56,559780,1726263956559,780,1,8993
2024-09-14 06:45:56,560780,1726263956560,780,1,8993
2024-09-14 06:45:56,561780,1726263956561,781,1,8993
2024-09-14 06:45:56,562781,1726263956562,781,1,8962
2024-09-14 06:45:56,563781,1726263956563,781,1,8962
2024-09-14 06:45:56,564781,1726263956564,781,1,8930
2024-09-14 06:45:56,565782,1726263956565,781,1,8899
2024-09-14 06:45:56,566782,1726263956566,782,1,8868
2024-09-14 06:45:56,567782,1726263956567,782,1,8806
2024-09-14 06:45:56,568782,1726263956568,782,1,8775
2024-09-14 06:45:56,569782,1726263956569,782,1,8712
2024-09-14 06:45:56,570783,1726263956570,783,1,8650
2024-09-14 06:45:56,571783,1726263956571,783,1,8588
2024-09-14 06:45:56,572783,1726263956572,783,1,8526
2024-09-14 06:45:56,573783,1726263956573,783,1,8432
2024-09-14 06:45:56,574784,1726263956574,784,1,8370
2024-09-14 06:45:56,575784,1726263956575,784,1,8277
2024-09-14 06:45:56,576784,1726263956576,784,1,8214
2024-09-14 06:45:56,577785,1726263956577,784,1,8121
2024-09-14 06:45:56,578785,1726263956578,785,1,8027
2024-09-14 06:45:56,579785,1726263956579,785,1,7903
2024-09-14 06:45:56,580785,1726263956580,785,1,7810
2024-09-14 06:45:56,581785,1726263956581,785,1,7685
2024-09-14 06:45:56,582786,1726263956582,786,1,7592
2024-09-14 06:45:56,583786,1726263956583,786,1,7467
2024-09-14 06:45:56,584786,1726263956584,786,1,7311
2024-09-14 06:45:56,585786,1726263956585,786,1,7218
2024-09-14 06:45:56,586787,1726263956586,787,1,7062
2024-09-14 06:45:56,587787,1726263956587,787,1,6938
2024-09-14 06:45:56,588787,1726263956588,787,1,6782
2024-09-14 06:45:56,589787,1726263956589,787,1,6595
2024-09-14 06:45:56,590788,1726263956590,788,1,6440
2024-09-14 06:45:56,591788,1726263956591,788,1,6222
2024-09-14 06:45:56,592788,1726263956592,788,1,6035
2024-09-14 06:45:56,593788,1726263956593,788,1,5848
2024-09-14 06:45:56,594789,1726263956594,789,1,5692
2024-09-14 06:45:56,595789,1726263956595,789,1,5474
2024-09-14 06:45:56,596789,1726263956596,789,1,5256
2024-09-14 06:45:56,597789,1726263956597,789,1,5038
2024-09-14 06:45:56,598789,1726263956598,790,1,4852
2024-09-14 06:45:56,599790,1726263956599,790,1,4634
2024-09-14 06:45:56,600790,1726263956600,790,1,4447
2024-09-14 06:45:56,601790,1726263956601,790,1,4229
2024-09-14 06:45:56,602791,1726263956602,791,1,4011
2024-09-14 06:45:56,603791,1726263956603,791,1,3824
2024-09-14 06:45:56,604791,1726263956604,791,1,3606
2024-09-14 06:45:56,605791,1726263956605,791,1,3388
2024-09-14 06:45:56,606791,1726263956606,792,1,3170
2024-09-14 06:45:56,607792,1726263956607,792,1,2952
2024-09-14 06:45:56,608792,1726263956608,792,1,2766
2024-09-14 06:45:56,609792,1726263956609,792,1,2548
2024-09-14 06:45:56,610792,1726263956610,792,1,2330
2024-09-14 06:45:56,611793,1726263956611,793,1,2112
2024-09-14 06:45:56,612793,1726263956612,793,1,1894
2024-09-14 06:45:56,613793,1726263956613,793,1,1645
2024-09-14 06:45:56,614794,1726263956614,793,1,1396
2024-09-14 06:45:56,615794,1726263956615,794,1,1147
2024-09-14 06:45:56,616794,1726263956616,794,1,866
2024-09-14 06:45:56,617794,1726263956617,794,1,586
2024-09-14 06:45:56,618794,1726263956618,794,1,306
2024-09-14 06:45:56,619795,1726263956619,795,0,9995
2024-09-14 06:45:56,620795,1726263956620,795,0,9714
2024-09-14 06:45:56,621795,1726263956621,795,0,9403
2024-09-14 06:45:56,622795,1726263956622,795,0,9092
2024-09-14 06:45:56,623796,1726263956623,796,0,8780
2024-09-14 06:45:56,624796,1726263956624,796,0,8500
2024-09-14 06:45:56,625796,1726263956625,796,0,8189
2024-09-14 06:45:56,626796,1726263956626,796,0,7940
2024-09-14 06:45:56,627797,1726263956627,797,0,7690
2024-09-14 06:45:56,628797,1726263956628,797,0,7473
2024-09-14 06:45:56,629797,1726263956629,797,0,7255
2024-09-14 06:45:56,630797,1726263956630,797,0,7037
2024-09-14 06:45:56,631798,1726263956631,798,0,6819
2024-09-14 06:45:56,632798,1726263956632,798,0,6601
2024-09-14 06:45:56,633798,1726263956633,798,0,6383
2024-09-14 06:45:56,634798,1726263956634,798,0,6227
2024-09-14 06:45:56,635799,1726263956635,799,0,5978
2024-09-14 06:45:56,636799,1726263956636,799,0,5760
2024-09-14 06:45:56,637799,1726263956637,799,0,5542
2024-09-14 06:45:56,638799,1726263956638,799,0,5262
2024-09-14 06:45:56,639800,1726263956639,800,0,4982
2024-09-14 06:45:56,640800,1726263956640,800,0,4670
2024-09-14 06:45:56,641800,1726263956641,800,0,4421
2024-09-14 06:45:56,642800,1726263956642,800,0,4110
2024-09-14 06:45:56,643800,1726263956643,801,0,3861
2024-09-14 06:45:56,644801,1726263956644,801,0,3549
2024-09-14 06:45:56,645801,1726263956645,801,0,3269
2024-09-14 06:45:56,646801,1726263956646,801,0,2958
2024-09-14 06:45:56,647802,1726263956647,802,0,2678
2024-09-14 06:45:56,648802,1726263956648,802,0,2366
2024-09-14 06:45:56,649802,1726263956649,802,0,2117
2024-09-14 06:45:56,650802,1726263956650,802,0,1868
2024-09-14 06:45:56,651803,1726263956651,802,0,1588
2024-09-14 06:45:56,652803,1726263956652,803,0,1339
2024-09-14 06:45:56,653803,1726263956653,803,0,1059
2024-09-14 06:45:56,654803,1726263956654,803,0,778
2024-09-14 06:45:56,655803,1726263956655,803,0,498
2024-09-14 06:45:56,656804,1726263956656,804,0,187
2024-09-14 06:45:56,657804,1726263956657,804,0,125
2024-09-14 06:45:56,658804,1726263956658,804,0,405
2024-09-14 06:45:56,659804,1726263956659,804,0,716
2024-09-14 06:45:56,660805,1726263956660,805,0,996
2024-09-14 06:45:56,661805,1726263956661,805,0,1308
2024-09-14 06:45:56,662805,1726263956662,805,0,1588
2024-09-14 06:45:56,663805,1726263956663,805,0,1868
2024-09-14 06:45:56,664806,1726263956664,806,0,2148
2024-09-14 06:45:56,665806,1726263956665,806,0,2460
2024-09-14 06:45:56,666806,1726263956666,806,0,2709
2024-09-14 06:45:56,667806,1726263956667,806,0,2989
